City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
Qaryat Sulūq,0,LY,1632688884,59,31.6682,20.2521,73.09,11.97
Bethel,40,US,1632688884,52,41.3712,-73.414,71.69,1.01
Busselton,80,AU,1632688884,89,-33.65,115.3333,57.04,14.76
Punta Arenas,40,CL,1632688885,53,-53.15,-70.9167,48.31,18.41
Mataura,5,NZ,1632688885,70,-46.1927,168.8643,41.49,2.15
Takoradze,100,GH,1632688886,91,4.8845,-1.7554,75.15,6.89
Haines Junction,100,CA,1632688886,65,60.7522,-137.5108,39.15,2.3
Atuona,6,PF,1632688886,71,-9.8,-139.0333,78.06,17.58
Chifeng,57,CN,1632688887,88,42.2683,118.9636,57.34,4.94
Cherskiy,100,RU,1632688887,99,68.75,161.3,32.45,18.59
Cape Town,0,ZA,1632688687,82,-33.9258,18.4232,61.21,1.99
Hithadhoo,100,MV,1632688887,71,-0.6,73.0833,82.6,16.93
Dandong,100,CN,1632688640,83,40.1292,124.3947,64.22,1.05
Kruisfontein,88,ZA,1632688888,95,-34.0033,24.7314,60.89,8.48
Pevek,100,RU,1632688888,93,69.7008,170.3133,30.6,18.63
Kahului,40,US,1632688790,76,20.8947,-156.47,86.97,28.77
Ribeira Grande,75,PT,1632688889,82,38.5167,-28.7,66.6,20.71
Xining,100,CN,1632688748,80,36.6167,101.7667,49.3,2.37
Port Alfred,40,ZA,1632688889,83,-33.5906,26.891,65.98,20.29
Kabompo,66,ZM,1632688890,28,-13.5927,24.2008,71.78,0.87
Jamestown,90,US,1632688811,55,42.097,-79.2353,67.32,11.99
Berlin,0,DE,1632688754,78,52.5244,13.4105,68.36,8.01
Bilma,0,NE,1632688763,15,18.6853,12.9164,87.08,10.76
Butaritari,100,KI,1632688890,74,3.0707,172.7902,83.71,16.15
Albany,8,US,1632688666,48,42.6001,-73.9662,69.46,8.57
Bluff,24,NZ,1632688891,73,-46.6,168.3333,41.81,9.15
George Town,40,MY,1632688891,94,5.4112,100.3354,76.95,3.0
Dwārka,30,IN,1632688892,85,22.2394,68.9678,81.37,11.65
Tiksi,100,RU,1632688892,95,71.6872,128.8694,33.94,8.77
Bredasdorp,1,ZA,1632688893,88,-34.5322,20.0403,56.52,5.75
Rikitea,7,PF,1632688893,72,-23.1203,-134.9692,74.01,20.11
Longyearbyen,75,SJ,1632688819,87,78.2186,15.6401,39.04,4.61
Lebu,28,CL,1632688894,63,-37.6167,-73.65,50.95,22.17
Kapaa,75,US,1632688894,75,22.0752,-159.319,82.38,4.0
Ilulissat,0,GL,1632688894,49,69.2167,-51.1,21.22,3.44
Talnakh,37,RU,1632688895,56,69.4865,88.3972,32.68,7.78
Tipuani,69,BO,1632688895,45,-15.5648,-68.0185,86.65,1.07
Benguela,2,AO,1632688895,78,-12.5763,13.4055,70.47,5.75
Rezh,100,RU,1632688896,61,57.37,61.4043,38.98,12.73
Avarua,75,CK,1632688896,69,-21.2078,-159.775,78.85,3.44
Oktyabr'skiy,100,RU,1632688713,79,54.4815,53.471,50.09,14.63
Hobart,20,AU,1632688896,90,-42.8794,147.3294,42.12,3.0
Half Moon Bay,90,US,1632688897,69,37.4636,-122.4286,78.91,8.05
Tuktoyaktuk,90,CA,1632688897,86,69.4541,-133.0374,33.8,16.11
Altamont,1,US,1632688898,22,42.2068,-121.7372,79.79,3.0
Port Keats,93,AU,1632688898,85,-14.25,129.55,75.56,5.73
Norman Wells,75,CA,1632688898,65,65.282,-126.8329,37.44,17.27
Usinsk,100,RU,1632688899,71,65.9939,57.5281,35.83,7.87
Province of Mantua,95,IT,1632688899,89,45.1667,10.7833,67.69,3.53
Muncar,87,ID,1632688899,87,-8.4333,114.3333,74.84,3.56
Vaini,75,TO,1632688900,83,-21.2,-175.2,73.56,3.44
Batagay,88,RU,1632688900,97,67.6333,134.6333,31.12,2.91
Yar-Sale,0,RU,1632688900,84,66.8333,70.8333,32.79,7.05
Hermanus,34,ZA,1632688901,91,-34.4187,19.2345,59.9,7.58
Qaanaaq,21,GL,1632688901,65,77.484,-69.3632,19.6,8.12
Leningradskiy,96,RU,1632688902,78,69.3833,178.4167,24.69,8.63
Yaan,82,NG,1632688902,93,7.3833,8.5667,72.18,6.13
Pombia,40,IT,1632688902,95,45.653,8.6336,65.28,4.61
Bathsheba,40,BB,1632688903,66,13.2167,-59.5167,88.41,9.22
Ushuaia,40,AR,1632688903,49,-54.8,-68.3,46.06,0.0
Nome,90,US,1632688718,75,64.5011,-165.4064,36.16,12.66
Ancud,13,CL,1632688904,62,-41.8697,-73.8203,53.13,8.37
Samarai,42,PG,1632688904,87,-10.6167,150.6667,79.21,13.04
Thompson,40,CA,1632688904,51,55.7435,-97.8558,62.76,9.22
Tulsīpur,89,NP,1632688905,83,28.131,82.2973,74.37,3.31
Orchard Homes,1,US,1632688905,26,46.8633,-114.0484,84.27,4.61
Palmer,40,US,1632688905,46,42.1584,-72.3287,71.53,1.99
Uulu,12,EE,1632688906,81,58.2789,24.5774,46.58,5.68
Lagoa,99,PT,1632688906,69,39.05,-27.9833,66.9,23.11
Muzhi,34,RU,1632688906,86,65.3667,64.6667,30.34,5.91
Vila Velha,0,BR,1632688907,69,-20.3297,-40.2925,79.97,19.57
Atherton,99,GB,1632688907,77,53.5237,-2.4935,64.78,8.99
Torbay,90,CA,1632688908,70,47.6666,-52.7314,60.28,10.36
Kropotkin,100,RU,1632688908,84,45.4375,40.5756,60.04,16.98
Vardø,75,NO,1632688908,81,70.3705,31.1107,47.95,17.27
New Norfolk,17,AU,1632688909,77,-42.7826,147.0587,41.76,2.75
Bengkulu,100,ID,1632688909,89,-3.8004,102.2655,75.42,5.19
Hilo,90,US,1632688909,90,19.7297,-155.09,78.8,5.75
Ostrovnoy,93,RU,1632688909,92,68.0531,39.5131,44.46,10.76
Chui,1,UY,1632688910,83,-33.6971,-53.4616,62.06,6.89
Ouadda,96,CF,1632688910,95,8.0777,22.4007,67.82,2.3
Port Blair,99,IN,1632688910,87,11.6667,92.75,79.72,12.5
Kitimat,100,CA,1632688904,28,54.0524,-128.6534,57.58,1.88
Ilembo,30,TZ,1632688911,68,-9.25,33.3833,54.43,3.94
Oddur,33,SO,1632688911,63,4.1213,43.8894,73.26,15.12
Castaños,29,MX,1632688912,35,26.7833,-101.4167,86.5,6.62
Lüderitz,76,NA,1632688912,92,-26.6481,15.1594,58.33,11.7
East London,32,ZA,1632688912,82,-33.0153,27.9116,66.25,16.4
Yellowknife,75,CA,1632688913,74,62.456,-114.3525,45.41,1.99
Balabac,27,PH,1632688913,80,7.9868,117.0645,81.12,5.48
Itamaracá,41,BR,1632688913,86,-7.7478,-34.8256,78.85,13.98
Ponta do Sol,59,PT,1632688914,73,32.6667,-17.1,72.72,2.01
Hong Kong,9,HK,1632688364,80,22.2855,114.1577,84.33,1.01
Akdepe,3,TM,1632688914,58,42.0551,59.3788,53.69,14.34
Mahébourg,75,MU,1632688915,94,-20.4081,57.7,70.09,11.5
Maniitsoq,0,GL,1632688915,51,65.4167,-52.9,32.49,3.02
Yulara,51,AU,1632688915,22,-25.2406,130.9889,66.04,0.0
Adrar,18,MR,1632688916,11,20.5022,-10.0711,97.61,8.63
Katsuura,21,JP,1632688916,78,35.1333,140.3,66.31,14.76
Arraial do Cabo,0,BR,1632688917,60,-22.9661,-42.0278,75.16,17.27
Batagay-Alyta,60,RU,1632688917,87,67.8006,130.4114,23.63,4.23
Sitka,40,US,1632688917,58,57.0531,-135.33,53.49,5.75
Honolulu,20,US,1632688832,66,21.3069,-157.8583,84.02,1.01
Kiryat Gat,0,IL,1632688918,100,31.61,34.7642,78.91,4.68
Puerto Ayora,81,EC,1632688918,85,-0.7393,-90.3518,80.56,9.82
Barrow,90,US,1632688918,86,71.2906,-156.7887,23.02,9.22
Fairbanks,90,US,1632688919,82,64.8378,-147.7164,35.31,1.01
Kieta,88,PG,1632688919,79,-6.2167,155.6333,80.94,1.48
Saskylakh,100,RU,1632688919,99,71.9167,114.0833,34.23,10.27
Moyale,87,KE,1632688920,44,3.5167,39.0584,74.82,6.13
Souillac,75,MU,1632688920,94,-20.5167,57.5167,70.18,11.5
Serenje,56,ZM,1632688920,38,-13.2325,30.2352,70.09,9.84
Dunedin,8,NZ,1632688622,84,-45.8742,170.5036,39.79,2.89
Mar del Plata,75,AR,1632688886,63,-38.0023,-57.5575,55.09,5.01
Mayo,1,US,1632688921,41,38.8876,-76.5119,77.38,7.0
Dikson,100,RU,1632688921,86,73.5069,80.5464,36.14,22.17
Petropavlovsk-Kamchatskiy,0,RU,1632688922,100,53.0452,158.6483,36.19,6.71
Cabo San Lucas,12,MX,1632688922,69,22.8909,-109.9124,95.5,6.15
Marawi,76,PH,1632688923,91,7.9986,124.2928,65.64,3.85
Upernavik,0,GL,1632688923,64,72.7868,-56.1549,24.75,2.66
Dalby,93,AU,1632688924,72,-27.1833,151.2667,58.98,5.01
Valparaíso,0,CL,1632688734,55,-33.0393,-71.6273,73.04,13.8
Rio Grande,1,BR,1632688924,85,-32.035,-52.0986,69.91,8.34
Tasiilaq,18,GL,1632688924,70,65.6145,-37.6368,35.76,1.68
Chongqing,90,CN,1632688925,73,29.5628,106.5528,78.22,5.99
Victor Harbor,98,AU,1632688925,53,-35.5667,138.6167,57.72,9.26
Bonavista,96,CA,1632688925,84,48.6499,-53.1147,61.12,11.34
Kiunga,100,PG,1632688926,100,-6.1219,141.2906,73.78,0.94
Tripoli,83,LY,1632688926,57,32.8752,13.1875,78.62,15.57
Ha Giang,18,VN,1632688918,91,22.8333,104.9833,73.18,2.98
Zhangjiakou,43,CN,1632688927,92,40.81,114.8794,55.42,1.28
Saldanha,0,ZA,1632688927,87,-33.0117,17.9442,60.85,21.79
Okny,49,UA,1632688927,65,47.5404,29.46,55.44,7.14
Vila Franca do Campo,100,PT,1632688928,88,37.7167,-25.4333,71.2,6.85
Alofi,40,NU,1632688928,65,-19.0595,-169.9187,76.89,4.61
Boralday,40,KZ,1632688928,35,43.3578,76.8594,51.66,2.24
São Filipe,30,CV,1632688929,77,14.8961,-24.4956,79.18,5.06
Piltene,17,LV,1632688929,100,57.2243,21.6744,40.95,0.0
